Niveau atteint: 7, Monstres tués: 475
Niveau atteint: 5, Monstres tués: 225
Niveau atteint: 6, Monstres tués: 162
Niveau atteint: 5, Monstres tués: 106
Niveau atteint: 4, Monstres tués: 64
Niveau atteint: 3, Monstres tués: 52
Niveau atteint: 4, Monstres tués: 49
Niveau atteint: 2, Monstres tués: 46
Niveau atteint: 2, Monstres tués: 41
Niveau atteint: 3, Monstres tués: 36
Niveau atteint: 2, Monstres tués: 29
Niveau atteint: 2, Monstres tués: 28
Niveau atteint: 2, Monstres tués: 19
Niveau atteint: 1, Monstres tués: 17
Niveau atteint: 2, Monstres tués: 14
Niveau atteint: 2, Monstres tués: 12
Niveau atteint: 2, Monstres tués: 11
Niveau atteint: 1, Monstres tués: 11
Niveau atteint: 2, Monstres tués: 7
Niveau atteint: 2, Monstres tués: 7
Niveau atteint: 1, Monstres tués: 7
Niveau atteint: 1, Monstres tués: 6
Niveau atteint: 1, Monstres tués: 6
Niveau atteint: 1, Monstres tués: 6
Niveau atteint: 1, Monstres tués: 5
Niveau atteint: 1, Monstres tués: 4
Niveau atteint: 1, Monstres tués: 4
Niveau atteint: 1, Monstres tués: 4
Niveau atteint: 1, Monstres tués: 4
Niveau atteint: 1, Monstres tués: 4
Niveau atteint: 1, Monstres tués: 3
Niveau atteint: 1, Monstres tués: 3
Niveau atteint: 1, Monstres tués: 3
Niveau atteint: 1, Monstres tués: 3
Niveau atteint: 1, Monstres tués: 3
Niveau atteint: 1, Monstres tués: 3
Niveau atteint: 1, Monstres tués: 3
Niveau atteint: 1, Monstres tués: 3
Niveau atteint: 1, Monstres tués: 2
Niveau atteint: 1, Monstres tués: 2
Niveau atteint: 1, Monstres tués: 2
Niveau atteint: 1, Monstres tués: 2
Niveau atteint: 1, Monstres tués: 2
Niveau atteint: 1, Monstres tués: 2
Niveau atteint: 1, Monstres tués: 2
Niveau atteint: 1, Monstres tués: 2
Niveau atteint: 1, Monstres tués: 2
Niveau atteint: 1, Monstres tués: 2
Niveau atteint: 1, Monstres tués: 1
Niveau atteint: 1, Monstres tués: 1
Niveau atteint: 1, Monstres tués: 1
Niveau atteint: 1, Monstres tués: 1
Niveau atteint: 1, Monstres tués: 1
Niveau atteint: 1, Monstres tués: 1
Niveau atteint: 1, Monstres tués: 1
Niveau atteint: 1, Monstres tués: 1
Niveau atteint: 1, Monstres tués: 1
Niveau atteint: 1, Monstres tués: 1
Niveau atteint: 1, Monstres tués: 1
Niveau atteint: 1, Monstres tués: 1
Niveau atteint: 1, Monstres tués: 1
Niveau atteint: 1, Monstres tués: 1
Niveau atteint: 1, Monstres tués: 1
